"","lien_status",".class",".value",".type"
"1","Secured by a first lien","Loan approved",0.74638367957376,"pdp"
"2","Secured by a first lien","Loan denied",0.253616320426238,"pdp"
"3","Secured by a subordinate lien","Loan approved",0.740903668363576,"pdp"
"4","Secured by a subordinate lien","Loan denied",0.259096331636426,"pdp"
