"","sex",".class",".value",".type","Model"
"1","Female","Loan approved",0.759197034654061,"pdp","Logistic Regression"
"2","Female","Loan denied",0.240802965345938,"pdp","Logistic Regression"
"3","Male","Loan approved",0.734928852933353,"pdp","Logistic Regression"
"4","Male","Loan denied",0.265071147066647,"pdp","Logistic Regression"
"5","Unknown","Loan approved",0.721662718288241,"pdp","Logistic Regression"
"6","Unknown","Loan denied",0.278337281711759,"pdp","Logistic Regression"
