"","preapproval",".class",".value",".type","Model"
"1","Preapproval not requested","Loan approved",0.741044568499612,"pdp","Logistic Regression"
"2","Preapproval not requested","Loan denied",0.258955431500387,"pdp","Logistic Regression"
"3","Preapproval requested","Loan approved",0.999999399381677,"pdp","Logistic Regression"
"4","Preapproval requested","Loan denied",6.00618319035914e-07,"pdp","Logistic Regression"
