"","race",".class",".value",".type","Model"
"1","Black or African American","Loan approved",0.706745976751233,"pdp","Logistic Regression"
"2","Black or African American","Loan denied",0.293254023248768,"pdp","Logistic Regression"
"3","White","Loan approved",0.779892938940591,"pdp","Logistic Regression"
"4","White","Loan denied",0.220107061059405,"pdp","Logistic Regression"
"5","Other","Loan approved",0.752337991332651,"pdp","Logistic Regression"
"6","Other","Loan denied",0.247662008667349,"pdp","Logistic Regression"
"7","Asian","Loan approved",0.751441518227999,"pdp","Logistic Regression"
"8","Asian","Loan denied",0.248558481772002,"pdp","Logistic Regression"
