"","has_co.applicant",".class",".value",".type","Model"
"1","No","Loan approved",0.731101838845428,"pdp","Logistic Regression"
"2","No","Loan denied",0.268898161154572,"pdp","Logistic Regression"
"3","Yes","Loan approved",0.778770895444432,"pdp","Logistic Regression"
"4","Yes","Loan denied",0.221229104555567,"pdp","Logistic Regression"
