"","sex",".class",".value",".type","Model"
"1","Male","Loan approved",0.723631066444727,"pdp","Linear SVM"
"2","Male","Loan denied",0.276368933555274,"pdp","Linear SVM"
"3","Female","Loan approved",0.730836618608808,"pdp","Linear SVM"
"4","Female","Loan denied",0.269163381391191,"pdp","Linear SVM"
"5","Unknown","Loan approved",0.701586219316747,"pdp","Linear SVM"
"6","Unknown","Loan denied",0.298413780683253,"pdp","Linear SVM"
