"","race",".class",".value",".type","Model"
"1","Black or African American","Loan approved",0.702560874746728,"pdp","Linear SVM"
"2","Black or African American","Loan denied",0.297439125253272,"pdp","Linear SVM"
"3","Other","Loan approved",0.725913028138874,"pdp","Linear SVM"
"4","Other","Loan denied",0.274086971861126,"pdp","Linear SVM"
"5","White","Loan approved",0.746380796972263,"pdp","Linear SVM"
"6","White","Loan denied",0.253619203027737,"pdp","Linear SVM"
"7","Asian","Loan approved",0.712132289983961,"pdp","Linear SVM"
"8","Asian","Loan denied",0.287867710016038,"pdp","Linear SVM"
