"","lien_status",".class",".value",".type","Model"
"1","Secured by a first lien","Loan approved",0.738925218606228,"pdp","Linear SVM"
"2","Secured by a first lien","Loan denied",0.26107478139377,"pdp","Linear SVM"
"3","Secured by a subordinate lien","Loan approved",0.693602662496137,"pdp","Linear SVM"
"4","Secured by a subordinate lien","Loan denied",0.306397337503863,"pdp","Linear SVM"
