"","ethnicity",".class",".value",".type","Model"
"1","Not Hispanic or Latino","Loan approved",0.731551228027228,"pdp","Linear SVM"
"2","Not Hispanic or Latino","Loan denied",0.268448771972772,"pdp","Linear SVM"
"3","Unknwon","Loan approved",0.712699888082517,"pdp","Linear SVM"
"4","Unknwon","Loan denied",0.287300111917482,"pdp","Linear SVM"
"5","Hispanic or Latino","Loan approved",0.693889096622716,"pdp","Linear SVM"
"6","Hispanic or Latino","Loan denied",0.306110903377284,"pdp","Linear SVM"
