"","ethnicity",".class",".value",".type"
"1","Not Hispanic or Latino","Loan approved",0.744449792649657,"pdp"
"2","Not Hispanic or Latino","Loan denied",0.255550207350343,"pdp"
"3","Unknwon","Loan approved",0.712915527417308,"pdp"
"4","Unknwon","Loan denied",0.287084472582693,"pdp"
"5","Hispanic or Latino","Loan approved",0.729528037948566,"pdp"
"6","Hispanic or Latino","Loan denied",0.270471962051436,"pdp"
