"","race",".class",".value",".type"
"1","Black or African American","Loan approved",0.708620733429768,"pdp"
"2","Black or African American","Loan denied",0.291379266570233,"pdp"
"3","Other","Loan approved",0.737174597948632,"pdp"
"4","Other","Loan denied",0.262825402051368,"pdp"
"5","White","Loan approved",0.75154919962173,"pdp"
"6","White","Loan denied",0.248450800378272,"pdp"
"7","Asian","Loan approved",0.705233180165067,"pdp"
"8","Asian","Loan denied",0.294766819834934,"pdp"
