"","has_co.applicant",".class",".value",".type"
"1","No","Loan approved",0.731507746051509,"pdp"
"2","No","Loan denied",0.268492253948491,"pdp"
"3","Yes","Loan approved",0.752075403058083,"pdp"
"4","Yes","Loan denied",0.247924596941916,"pdp"
