"","loan_type",".class",".value",".type","Model"
"1","Conventional","Loan approved",0.734585984450983,"pdp","Random Forest"
"2","Conventional","Loan denied",0.265414015549019,"pdp","Random Forest"
"3","FHA","Loan approved",0.708449957695033,"pdp","Random Forest"
"4","FHA","Loan denied",0.291550042304966,"pdp","Random Forest"
"5","VA","Loan approved",0.72205762720321,"pdp","Random Forest"
"6","VA","Loan denied",0.277942372796791,"pdp","Random Forest"
