"","race",".class",".value",".type","Model"
"1","Black or African American","Loan approved",0.744134964145428,"pdp","Tree"
"2","Black or African American","Loan denied",0.255865035854559,"pdp","Tree"
"3","Other","Loan approved",0.744134964145429,"pdp","Tree"
"4","Other","Loan denied",0.255865035854559,"pdp","Tree"
"5","White","Loan approved",0.744134964145428,"pdp","Tree"
"6","White","Loan denied",0.255865035854559,"pdp","Tree"
"7","Asian","Loan approved",0.744134964145429,"pdp","Tree"
"8","Asian","Loan denied",0.255865035854559,"pdp","Tree"
