"","sex",".class",".value",".type","Model"
"1","Female","Loan approved",0.745073622693967,"pdp","Tree"
"2","Female","Loan denied",0.25492637730602,"pdp","Tree"
"3","Male","Loan approved",0.742598977429638,"pdp","Tree"
"4","Male","Loan denied",0.25740102257035,"pdp","Tree"
"5","Unknown","Loan approved",0.744988290098645,"pdp","Tree"
"6","Unknown","Loan denied",0.255011709901342,"pdp","Tree"
