"","has_co.applicant",".class",".value",".type"
"1","No","Loan approved",0.744134964145428,"pdp"
"2","No","Loan denied",0.255865035854559,"pdp"
"3","Yes","Loan approved",0.744134964145427,"pdp"
"4","Yes","Loan denied",0.255865035854559,"pdp"
