"","loan_type",".class",".value",".type","Model"
"1","Conventional","Loan approved",0.741538134887911,"pdp","Classification Tree"
"2","Conventional","Loan denied",0.258461865112077,"pdp","Classification Tree"
"3","FHA","Loan approved",0.751605046605293,"pdp","Classification Tree"
"4","FHA","Loan denied",0.248394953394693,"pdp","Classification Tree"
"5","VA","Loan approved",0.763288803598805,"pdp","Classification Tree"
"6","VA","Loan denied",0.236711196401179,"pdp","Classification Tree"
