"","preapproval",".class",".value",".type","Model"
"1","Preapproval not requested","Loan approved",0.744134964145429,"pdp","Classification"
"2","Preapproval not requested","Loan denied",0.25586503585456,"pdp","Classification"
"3","Preapproval requested","Loan approved",0.744134964145428,"pdp","Classification"
"4","Preapproval requested","Loan denied",0.255865035854559,"pdp","Classification"
