"","income",".class",".value",".type"
"1",0,"Loan approved",0.655480788851835,"pdp"
"2",0,"Loan denied",0.344519211148156,"pdp"
"3",0.522327427311739,"Loan approved",0.655480788851834,"pdp"
"4",0.522327427311739,"Loan denied",0.344519211148155,"pdp"
"5",1.04465485462348,"Loan approved",0.655480788851836,"pdp"
"6",1.04465485462348,"Loan denied",0.344519211148156,"pdp"
"7",1.56698228193522,"Loan approved",0.655480788851835,"pdp"
"8",1.56698228193522,"Loan denied",0.344519211148156,"pdp"
"9",2.08930970924695,"Loan approved",0.655480788851834,"pdp"
"10",2.08930970924695,"Loan denied",0.344519211148156,"pdp"
"11",2.61163713655869,"Loan approved",0.655480788851835,"pdp"
"12",2.61163713655869,"Loan denied",0.344519211148156,"pdp"
"13",3.13396456387043,"Loan approved",0.655480788851835,"pdp"
"14",3.13396456387043,"Loan denied",0.344519211148156,"pdp"
"15",3.65629199118217,"Loan approved",0.744520388855019,"pdp"
"16",3.65629199118217,"Loan denied",0.255479611144968,"pdp"
"17",4.17861941849391,"Loan approved",0.736886528227835,"pdp"
"18",4.17861941849391,"Loan denied",0.263113471772152,"pdp"
"19",4.70094684580565,"Loan approved",0.749698729731918,"pdp"
"20",4.70094684580565,"Loan denied",0.250301270268068,"pdp"
"21",5.22327427311739,"Loan approved",0.742514399675847,"pdp"
"22",5.22327427311739,"Loan denied",0.25748560032414,"pdp"
"23",5.74560170042913,"Loan approved",0.735942175435623,"pdp"
"24",5.74560170042913,"Loan denied",0.264057824564363,"pdp"
"25",6.26792912774086,"Loan approved",0.731277377028031,"pdp"
"26",6.26792912774086,"Loan denied",0.268722622971956,"pdp"
"27",6.7902565550526,"Loan approved",0.731277377028031,"pdp"
"28",6.7902565550526,"Loan denied",0.268722622971956,"pdp"
"29",7.31258398236434,"Loan approved",0.731277377028031,"pdp"
"30",7.31258398236434,"Loan denied",0.268722622971956,"pdp"
"31",7.83491140967608,"Loan approved",0.731277377028032,"pdp"
"32",7.83491140967608,"Loan denied",0.268722622971956,"pdp"
"33",8.35723883698782,"Loan approved",0.731277377028032,"pdp"
"34",8.35723883698782,"Loan denied",0.268722622971956,"pdp"
"35",8.87956626429956,"Loan approved",0.731277377028031,"pdp"
"36",8.87956626429956,"Loan denied",0.268722622971956,"pdp"
"37",9.4018936916113,"Loan approved",0.731277377028032,"pdp"
"38",9.4018936916113,"Loan denied",0.268722622971956,"pdp"
"39",9.92422111892303,"Loan approved",0.731277377028031,"pdp"
"40",9.92422111892303,"Loan denied",0.268722622971956,"pdp"
