"","lien_status",".class",".value",".type","Model"
"1","Secured by a first lien","Loan approved",0.744134964145428,"pdp","Classification"
"2","Secured by a first lien","Loan denied",0.255865035854559,"pdp","Classification"
"3","Secured by a subordinate lien","Loan approved",0.744134964145427,"pdp","Classification"
"4","Secured by a subordinate lien","Loan denied",0.255865035854559,"pdp","Classification"
