"","ethnicity",".class",".value",".type","Model"
"1","Not Hispanic or Latino","Loan approved",0.74604344194742,"pdp","Classification Tree"
"2","Not Hispanic or Latino","Loan denied",0.253956558052569,"pdp","Classification Tree"
"3","Unknwon","Loan approved",0.734453476677971,"pdp","Classification Tree"
"4","Unknwon","Loan denied",0.265546523322018,"pdp","Classification Tree"
"5","Hispanic or Latino","Loan approved",0.74604344194742,"pdp","Classification Tree"
"6","Hispanic or Latino","Loan denied",0.253956558052568,"pdp","Classification Tree"
